n,value,execute,execute_simd,execute_simd_v2,execute_fused_v3,timestamp
10,4.7,0.1,0.29,0.41,0.34,759194349655000
11,4.7,0.19,0.41,0.47,0.45,759194349655000
12,4.7,0.41,0.58,0.56,0.58,759194349655000
13,4.7,0.92,0.94,0.76,0.96,759194349655000
14,4.7,2.02,1.54,1.03,1.35,759194349655000
15,4.7,4.49,2.71,1.6,2.72,759194349655000
16,4.7,9.95,5.24,2.29,5.16,759194349655000
17,4.7,21.84,10.64,4.3,12.18,759194349655000
18,4.7,48.36,22.29,8.05,30.73,759194349655000
19,4.7,106.66,53.6,15.48,49.06,759194349655000
20,4.7,234.67,101.66,33.2,107.85,759194349655000
21,4.7,521.25,221.88,83.48,252.11,759194349655000
22,4.7,1128.71,468.86,170.54,508.55,759194349655000
23,4.7,2457.71,1012.2,342.5,1100.95,759194349655000
24,4.7,5307.77,2135.99,744.66,2508.72,759194349655000
25,4.7,11397.12,4558.09,1513.0,5135.84,759194349655000
26,4.7,24413.15,9927.07,3308.74,11186.05,759194349655000
27,4.7,52209.9,20982.68,6733.84,24191.93,759194349655000
28,4.7,111100.14,46179.87,14615.72,50456.55,759194349655000
