n,value,execute,execute_simd,execute_simd_v2,execute_fused_v3,qiskit_ms,timestamp
3,4.7,0.01,0.0,0.01,0.03,0.45,766835717461000
4,4.7,0.01,0.01,0.01,0.06,0.6,766835717461000
5,4.7,0.01,0.01,0.01,0.09,0.79,766835717461000
6,4.7,0.01,0.01,0.01,0.12,1.03,766835717461000
7,4.7,0.02,0.02,0.02,0.14,1.3,766835717461000
8,4.7,0.03,0.03,0.03,0.2,1.64,766835717461000
9,4.7,0.05,0.05,0.05,0.25,2.01,766835717461000
10,4.7,0.1,0.31,0.37,0.32,2.46,766835717461000
11,4.7,0.19,0.39,0.53,0.45,3.08,766835717461000
12,4.7,0.4,0.77,0.86,0.83,3.63,766835717461000
13,4.7,0.91,1.02,0.79,1.28,4.52,766835717461000
14,4.7,2.02,2.68,1.55,3.06,5.97,766835717461000
15,4.7,4.48,2.81,1.63,2.66,11.43,766835717461000
16,4.7,9.92,5.24,2.45,5.35,14.54,766835717461000
17,4.7,21.96,18.51,8.34,16.64,18.95,766835717461000
18,4.7,48.62,23.46,8.36,24.37,27.85,766835717461000
19,4.7,107.0,65.2,18.14,50.97,46.77,766835717461000
20,4.7,238.87,125.23,33.87,119.34,79.77,766835717461000
21,4.7,519.97,216.32,74.97,251.8,150.8,766835717461000
22,4.7,1137.58,477.46,167.38,523.11,299.76,766835717461000
23,4.7,2472.54,1050.94,382.23,1128.24,631.77,766835717461000
24,4.7,5345.18,2273.61,834.17,2660.78,1284.33,766835717461000
25,4.7,11501.53,4728.16,1561.31,5285.57,2557.68,766835717461000
26,4.7,24470.93,10187.22,3343.17,11777.2,4981.64,766835717461000
27,4.7,52322.71,21409.7,6917.73,25083.09,10241.78,766835717461000
