n,value,generic_ms,simd_v2_ms,grid_2row_ms,grid_4row_ms,grid_8row_ms,timestamp
3,4.7,0.0,0.0,1.58,1.41,1.45,837725517122000
5,4.7,0.0,0.0,2.74,2.59,2.55,837725517122000
7,4.7,0.0,0.0,5.0,5.71,1.77,837725517122000
10,4.7,0.03,0.79,0.13,4.7,8.5,837725517122000
12,4.7,0.14,6.07,7.75,7.05,7.64,837725517122000
15,4.7,1.09,6.31,8.14,10.47,10.2,837725517122000
17,4.7,5.26,11.36,10.24,10.21,13.06,837725517122000
20,4.7,47.72,54.83,40.49,81.85,56.4,837725517122000
22,4.7,215.77,111.77,84.43,53.03,145.97,837725517122000
24,4.7,932.17,378.04,346.6,226.94,297.43,837725517122000
25,4.7,1868.23,703.28,717.13,459.9,775.14,837725517122000
27,4.7,8403.31,3412.37,3436.73,2523.56,3051.07,837725517122000
