n,value,pure_v2_ms,pure_v3_ms,hybrid_ms,timestamp
10,4.7,0.48,0.46,0.35,815817911523000
11,4.7,0.59,0.83,0.71,815817911523000
12,4.7,0.78,0.71,0.56,815817911523000
13,4.7,0.92,1.23,0.88,815817911523000
14,4.7,1.32,1.04,0.99,815817911523000
15,4.7,2.22,1.41,1.45,815817911523000
16,4.7,4.79,3.47,5.22,815817911523000
17,4.7,9.01,7.08,7.25,815817911523000
18,4.7,51.36,30.29,11.91,815817911523000
19,4.7,36.25,27.2,27.76,815817911523000
20,4.7,63.11,20.96,26.39,815817911523000
21,4.7,80.09,56.57,67.86,815817911523000
22,4.7,221.29,179.27,202.17,815817911523000
23,4.7,398.84,401.12,344.0,815817911523000
24,4.7,940.52,916.18,728.36,815817911523000
25,4.7,1804.3,1416.99,1611.8,815817911523000
26,4.7,3972.46,3391.75,3164.96,815817911523000
27,4.7,7848.09,7408.45,7182.76,815817911523000
