n,value,swap,pure_v2_ms,pure_v3_ms,hybrid_ms,timestamp
10,4.7,True,0.39,0.41,0.34,815959727838000
10,4.7,False,0.39,0.36,0.33,815959727838000
15,4.7,True,1.63,1.44,2.29,815959727838000
15,4.7,False,1.91,1.76,1.67,815959727838000
20,4.7,True,37.94,34.21,45.44,815959727838000
20,4.7,False,54.26,47.98,55.89,815959727838000
25,4.7,True,2111.39,1489.29,1613.79,815959727838000
25,4.7,False,1769.1,1381.26,1424.46,815959727838000
27,4.7,True,8099.61,6486.8,7175.03,815959727838000
27,4.7,False,10549.0,9096.44,9319.61,815959727838000
