n,value,swap,pure_v2_ms,pure_v3_ms,hybrid_ms,qiskit_ms,timestamp
10,4.7,True,10.89,2.86,2.28,2.53,816522463602000
10,4.7,False,0.58,0.4,0.29,2.48,816522463602000
15,4.7,True,2.51,1.4,3.09,12.03,816522463602000
15,4.7,False,1.81,2.4,2.03,11.64,816522463602000
20,4.7,True,55.31,51.48,72.3,93.21,816522463602000
20,4.7,False,33.68,20.67,23.95,81.11,816522463602000
25,4.7,True,1862.93,1476.43,1772.19,2683.53,816522463602000
25,4.7,False,1676.41,1351.69,1460.93,2686.45,816522463602000
27,4.7,True,8047.14,6416.53,6778.36,11266.14,816522463602000
27,4.7,False,7208.91,5822.74,6144.11,10729.48,816522463602000
