n,stage,scalar,scalar_parallel,simd,simd_generic,simd_parallel,grid,grid_parallel,timestamp
8,prep,0.02,0.13,0.01,0.01,0.13,0.01,0.14,2026_01_12__21_42_21__78141451
8,full,0.05,0.3,0.03,0.03,0.31,0.02,0.31,2026_01_12__21_42_21__78141451
9,prep,0.01,0.06,0.0,0.01,0.08,0.01,0.1,2026_01_12__21_42_21__78141451
9,full,0.04,0.21,0.02,0.03,0.34,0.02,0.35,2026_01_12__21_42_21__78141451
10,prep,0.02,0.11,0.01,0.01,0.08,0.01,0.09,2026_01_12__21_42_21__78141451
10,full,0.07,0.32,0.03,0.05,0.45,0.04,0.42,2026_01_12__21_42_21__78141451
12,prep,0.08,0.12,0.03,0.05,0.12,0.04,0.13,2026_01_12__21_42_21__78141451
12,full,0.33,0.56,0.11,0.22,0.56,0.11,0.58,2026_01_12__21_42_21__78141451
14,prep,0.36,0.42,0.14,0.22,0.26,0.32,0.28,2026_01_12__21_42_21__78141451
14,full,1.63,1.42,0.55,1.14,1.02,0.74,0.85,2026_01_12__21_42_21__78141451
16,prep,1.62,1.06,0.62,0.98,0.34,1.34,0.48,2026_01_12__21_42_21__78141451
16,full,7.95,3.5,2.46,5.44,1.28,3.26,1.28,2026_01_12__21_42_21__78141451
18,prep,7.14,2.9,2.78,4.39,1.31,5.48,1.04,2026_01_12__21_42_21__78141451
18,full,38.73,14.59,11.51,27.9,4.5,14.84,3.84,2026_01_12__21_42_21__78141451
20,prep,32.9,12.54,13.24,20.25,6.24,23.98,3.87,2026_01_12__21_42_21__78141451
20,full,188.77,62.8,58.65,140.93,18.35,71.15,13.69,2026_01_12__21_42_21__78141451
22,prep,,,60.1,,30.0,104.46,27.59,2026_01_12__21_42_21__78141451
22,full,,,295.77,,113.37,354.13,110.88,2026_01_12__21_42_21__78141451
24,prep,,,276.77,,122.78,452.36,120.93,2026_01_12__21_42_21__78141451
24,full,,,1545.22,,502.49,1770.31,493.28,2026_01_12__21_42_21__78141451
