n,stage,scalar,scalar_parallel,simd,simd_generic,simd_parallel,grid,grid_parallel,timestamp
8,prep,0.01,0.05,0.0,0.0,0.06,0.0,0.08,2026_01_13__22_19_51__80391694
8,full,0.02,0.14,0.01,0.02,0.2,0.02,0.29,2026_01_13__22_19_51__80391694
9,prep,0.01,0.05,0.0,0.01,0.09,0.02,0.1,2026_01_13__22_19_51__80391694
9,full,0.04,0.19,0.02,0.03,0.26,0.02,0.27,2026_01_13__22_19_51__80391694
10,prep,0.02,0.07,0.01,0.01,0.09,0.01,0.1,2026_01_13__22_19_51__80391694
10,full,0.07,0.25,0.03,0.05,0.36,0.04,0.34,2026_01_13__22_19_51__80391694
12,prep,0.08,0.12,0.03,0.05,0.14,0.03,0.19,2026_01_13__22_19_51__80391694
12,full,0.33,0.47,0.11,0.22,0.5,0.11,0.69,2026_01_13__22_19_51__80391694
14,prep,0.37,0.28,0.14,0.22,0.29,0.3,0.2,2026_01_13__22_19_51__80391694
14,full,1.66,1.23,0.54,1.15,0.86,0.74,0.76,2026_01_13__22_19_51__80391694
16,prep,1.62,0.75,0.61,0.98,0.53,1.28,0.34,2026_01_13__22_19_51__80391694
16,full,8.14,3.58,2.5,5.54,2.14,3.28,1.48,2026_01_13__22_19_51__80391694
18,prep,7.35,2.97,2.83,4.49,1.87,5.52,1.03,2026_01_13__22_19_51__80391694
18,full,39.79,14.92,11.82,28.52,5.76,14.72,3.88,2026_01_13__22_19_51__80391694
20,prep,33.01,12.6,14.0,20.78,8.63,24.85,8.4,2026_01_13__22_19_51__80391694
20,full,193.66,64.58,60.92,143.28,26.05,73.86,16.16,2026_01_13__22_19_51__80391694
22,prep,,,64.1,,36.49,107.34,29.98,2026_01_13__22_19_51__80391694
22,full,,,321.41,,136.47,377.62,119.8,2026_01_13__22_19_51__80391694
24,prep,,,281.56,,151.61,467.18,137.88,2026_01_13__22_19_51__80391694
24,full,,,1580.84,,601.31,1837.12,536.48,2026_01_13__22_19_51__80391694
