n,stage,scalar,scalar_parallel,simd,simd_generic,simd_parallel,grid,grid_fused,grid_parallel,grid_parallel_fused,timestamp
8,prep,0.01,0.05,0.0,0.0,0.12,0.0,0.01,0.1,0.07,2026_01_15__22_50_12__82212035
8,full,0.02,0.13,0.01,0.02,0.45,0.02,0.03,0.26,0.16,2026_01_15__22_50_12__82212035
9,prep,0.01,0.06,0.0,0.01,0.13,0.01,0.01,0.09,0.04,2026_01_15__22_50_12__82212035
9,full,0.04,0.18,0.02,0.03,0.35,0.02,0.04,0.54,0.31,2026_01_15__22_50_12__82212035
10,prep,0.02,0.08,0.01,0.01,0.11,0.01,0.01,0.14,0.06,2026_01_15__22_50_12__82212035
10,full,0.07,0.3,0.03,0.05,0.6,0.04,0.05,0.43,0.25,2026_01_15__22_50_12__82212035
12,prep,0.08,0.12,0.03,0.05,0.14,0.03,0.03,0.33,0.09,2026_01_15__22_50_12__82212035
12,full,0.33,0.56,0.11,0.22,0.47,0.11,0.12,0.98,0.32,2026_01_15__22_50_12__82212035
14,prep,0.36,0.26,0.15,0.22,0.31,0.16,0.11,0.24,0.08,2026_01_15__22_50_12__82212035
14,full,1.64,1.26,0.54,1.16,0.81,0.52,0.41,1.09,0.46,2026_01_15__22_50_12__82212035
16,prep,1.64,1.0,0.64,0.98,0.75,0.7,0.47,0.25,0.15,2026_01_15__22_50_12__82212035
16,full,7.94,3.46,2.47,5.44,1.44,2.33,1.74,1.28,0.73,2026_01_15__22_50_12__82212035
18,prep,7.15,3.11,2.83,4.46,1.53,3.07,2.26,0.96,0.45,2026_01_15__22_50_12__82212035
18,full,38.82,14.66,11.8,28.12,4.27,10.94,8.65,4.0,2.52,2026_01_15__22_50_12__82212035
20,prep,32.37,12.04,13.39,20.4,6.95,15.9,11.57,2.75,1.87,2026_01_15__22_50_12__82212035
20,full,189.11,63.19,59.38,142.45,18.44,60.18,43.58,12.09,10.05,2026_01_15__22_50_12__82212035
22,prep,,,60.94,,30.16,68.91,47.64,26.44,17.83,2026_01_15__22_50_12__82212035
22,full,,,298.43,,113.01,298.97,198.15,107.94,83.7,2026_01_15__22_50_12__82212035
24,prep,,,274.0,,120.78,299.18,212.66,105.43,71.06,2026_01_15__22_50_12__82212035
24,full,,,1525.37,,504.84,1537.26,1021.76,475.67,364.65,2026_01_15__22_50_12__82212035
