n,scalar,simd,simd_fused,simd_parallel,grid,grid_fused,grid_parallel,grid_parallel_fused,qiskit_r_o3,timestamp
3,0.0,0.0,0.02,0.04,0.0,0.0,0.05,0.01,5.15,2026_01_15__22_53_19__82399060
5,0.0,0.0,0.05,0.1,0.01,0.01,0.12,0.09,0.92,2026_01_15__22_53_19__82399060
7,0.01,0.01,0.12,0.18,0.01,0.02,0.18,0.18,1.25,2026_01_15__22_53_19__82399060
9,0.04,0.02,0.16,0.38,0.02,0.04,0.36,0.29,1.79,2026_01_15__22_53_19__82399060
11,0.15,0.06,0.34,0.43,0.06,0.08,0.45,0.26,2.4,2026_01_15__22_53_19__82399060
13,0.74,0.24,1.05,0.7,0.23,0.22,0.61,0.35,3.69,2026_01_15__22_53_19__82399060
15,3.65,1.16,4.11,1.06,1.12,0.86,1.14,0.65,11.52,2026_01_15__22_53_19__82399060
17,17.94,5.4,15.12,2.24,5.08,4.08,1.99,1.29,16.6,2026_01_15__22_53_19__82399060
19,87.63,25.36,65.29,7.62,24.16,19.52,5.82,4.6,40.79,2026_01_15__22_53_19__82399060
21,,,,44.52,,,41.67,33.0,141.28,2026_01_15__22_53_19__82399060
23,,,,239.04,,,229.97,177.5,585.16,2026_01_15__22_53_19__82399060
25,,,,1076.2,,,1018.85,783.05,2524.98,2026_01_15__22_53_19__82399060
